Date;Close;Log_Weekly_Returns
2017-05-01; $239,70 ;0,00678139
2017-05-08; $238,98 ;-0,003008275
2017-05-15; $238,31 ;-0,002807519
2017-05-22; $241,71 ;0,014166313
2017-05-30; $244,17 ;0,010126044
2017-06-05; $243,41 ;-0,00311744
2017-06-12; $242,64 ;-0,003168401
2017-06-19; $243,13 ;0,002017416
2017-06-26; $241,80 ;-0,005485342
2017-07-03; $242,11 ;0,00128123
2017-07-10; $245,56 ;0,014149148
2017-07-17; $246,88 ;0,005361072
2017-07-24; $246,91 ;0,000121509
2017-07-31; $247,41 ;0,002022982
2017-08-07; $244,12 ;-0,013386972
2017-08-14; $242,71 ;-0,005792593
2017-08-21; $244,56 ;0,007593363
2017-08-28; $247,84 ;0,013322699
2017-09-05; $246,58 ;-0,005096892
2017-09-11; $249,19 ;0,010529173
2017-09-18; $249,44 ;0,001002748
2017-09-25; $251,23 ;0,007150449
2017-10-02; $254,37 ;0,012421046
2017-10-09; $254,95 ;0,002277548
2017-10-16; $257,11 ;0,008436561
2017-10-23; $257,71 ;0,002330913
2017-10-30; $258,45 ;0,00286733
2017-11-06; $258,09 ;-0,00139389
2017-11-13; $257,86 ;-0,000891559
2017-11-20; $260,36 ;0,009648487
2017-11-27; $264,46 ;0,015624722
2017-12-04; $265,51 ;0,003962494
2017-12-11; $266,51 ;0,003759262
2017-12-18; $267,51 ;0,003745182
2017-12-26; $266,86 ;-0,002432773
2018-01-02; $273,42 ;0,024284898
2018-01-08; $277,92 ;0,016324228
2018-01-16; $280,41 ;0,008919515
2018-01-22; $286,58 ;0,021764911
2018-01-29; $275,45 ;-0,039611605
2018-02-05; $261,50 ;-0,05197184
2018-02-12; $273,11 ;0,043440361
2018-02-20; $274,71 ;0,005841351
2018-02-26; $269,08 ;-0,020707263
2018-03-05; $278,87 ;0,03573699
2018-03-12; $274,20 ;-0,016887956
2018-03-19; $258,05 ;-0,060704403
2018-03-26; $263,15 ;0,019570847
2018-04-02; $259,72 ;-0,013120084
2018-04-09; $265,15 ;0,020691576
2018-04-16; $266,61 ;0,005491213
2018-04-23; $266,56 ;-0,000187557
2018-04-30; $266,02 ;-0,002027865
2018-05-07; $272,85 ;0,0253507
2018-05-14; $271,33 ;-0,005586401
2018-05-21; $272,15 ;0,003017593
2018-05-29; $273,60 ;0,005313801
2018-06-04; $278,19 ;0,016637148
2018-06-11; $277,13 ;-0,003817623
2018-06-18; $274,74 ;-0,008661514
2018-06-25; $271,28 ;-0,012673698
2018-07-02; $275,42 ;0,015145707
2018-07-09; $279,59 ;0,015027039
2018-07-16; $279,68 ;0,000321848
2018-07-23; $281,42 ;0,006202123
2018-07-30; $283,60 ;0,007716579
2018-08-06; $283,16 ;-0,001552686
2018-08-13; $285,06 ;0,006687576
2018-08-20; $287,51 ;0,008557958
2018-08-27; $290,31 ;0,009691675
2018-09-04; $287,60 ;-0,009378692
2018-09-10; $290,88 ;0,011340185
2018-09-17; $291,99 ;0,003808744
2018-09-24; $290,72 ;-0,00435895
2018-10-01; $287,82 ;-0,01002532
2018-10-08; $275,95 ;-0,042115595
2018-10-15; $276,25 ;0,001086563
2018-10-22; $265,33 ;-0,040331919
2018-10-29; $271,89 ;0,024423238
2018-11-05; $277,76 ;0,021359859
2018-11-12; $273,73 ;-0,014615212
2018-11-19; $263,25 ;-0,039038068
2018-11-26; $275,65 ;0,046027794
2018-12-03; $263,57 ;-0,044812958
2018-12-10; $260,47 ;-0,011831296
2018-12-17; $240,70 ;-0,078936347
2018-12-24; $247,75 ;0,028868828
2018-12-31; $252,39 ;0,018555337
2019-01-07; $258,98 ;0,025775328
2019-01-14; $266,46 ;0,0284733
2019-01-22; $265,78 ;-0,00255524
2019-01-28; $270,06 ;0,015975258
2019-02-04; $270,47 ;0,00151703
2019-02-11; $277,37 ;0,025191169
2019-02-19; $279,14 ;0,006361093
2019-02-25; $280,42 ;0,004575031
2019-03-04; $274,46 ;-0,021482948
2019-03-11; $281,31 ;0,024651733
2019-03-18; $279,25 ;-0,007349826
2019-03-25; $282,48 ;0,011500314
2019-04-01; $288,57 ;0,021329939
2019-04-08; $290,16 ;0,005494804
2019-04-15; $290,02 ;-0,000482609
2019-04-22; $293,41 ;0,011621062
2019-04-29; $294,03 ;0,002110855
2019-05-06; $288,10 ;-0,020374161
2019-05-13; $285,84 ;-0,007875428
2019-05-20; $282,78 ;-0,010763004
2019-05-28; $275,27 ;-0,026916776
2019-06-03; $287,65 ;0,043992029
2019-06-10; $289,26 ;0,005581474
2019-06-17; $294,00 ;0,01625383
2019-06-24; $293,00 ;-0,003407158
2019-07-01; $298,46 ;0,018463311
2019-07-08; $300,65 ;0,007310877
2019-07-15; $297,17 ;-0,011642432
2019-07-22; $302,01 ;0,016155764
2019-07-29; $292,62 ;-0,03158529
2019-08-05; $291,62 ;-0,003423254
2019-08-12; $288,85 ;-0,009544063
2019-08-19; $284,85 ;-0,013944796
