Symbol,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,Alpha_annual,R2,N_obs
DVN,-0.010623253216864475,1.9899735198956299,0.1809422927034791,2.212210121746712,-0.4117899489888061,-0.14317561120929054,-0.12028826028407313,0.6362090851854261,59
DXCM,-0.005522729439861811,1.4258189444791083,-0.8472669041087698,-0.9738553023651497,-1.277890860400999,1.1050880215789478,-0.06429631933169433,0.31839137691279096,59
ED,-0.0076893041013418205,0.43375797076452655,-0.33907605160622045,0.07293964588641262,0.3408332229410606,0.7010890386110973,-0.08846768294484897,0.30629320398218285,59
EMN,-0.01349364541653178,1.3578815641660382,0.340479845489195,0.48241684479295294,0.5073523510496554,0.14984262227038164,-0.1504310229652629,0.7451204716239747,59
FANG,-0.0019392248704536927,1.7976645862152232,0.23015327534569105,1.8291353409036952,-0.5500537042722519,-0.1939436552852064,-0.023024096702161767,0.5666528159289412,59
GLW,-0.0033465785066380633,0.9780276850656874,-0.13385857868216539,0.3328898962916438,0.37799107890253036,0.11501481068341628,-0.03942795320020187,0.518028222066461,59
KMX,-0.025534090147101868,1.4721345576522054,1.3558188666598834,0.0032320216126283893,0.8675439580828381,-0.21783223747573052,-0.2668382361577014,0.6297001021338571,59
KO,-0.009601411882978155,0.6067340493980835,-0.19689960639877682,0.3318085361005924,0.6238506600086439,0.12840611253601936,-0.1093231783050348,0.5365807109568593,59
SCHW,0.004076414786975726,0.9269690065859961,-0.18423380993635327,1.3663731486113608,-1.1025248573866042,-0.770421981361215,0.05002874987364181,0.5262021239017016,59
STZ,-0.010184922234922681,0.8642376389025457,0.19982895386519578,-0.07809274177653082,0.38741340883403774,0.4120753091567242,-0.11559990381972696,0.5114751729609979,59
BEN,-0.018436453040827968,1.2872465313483639,0.9525564291172778,0.2904128471112964,0.38341311415451046,0.42232851883907785,-0.2001269660691437,0.7524345897860507,59
DOC,-0.02151466279869404,1.0500547979538586,0.3210491437319071,0.23406324819381027,0.33539388365758876,0.40737734615296284,-0.22971424824922726,0.5489835606957403,59
EA,-0.0036254871676466515,0.9139591473803497,-0.2707837031875283,-0.07737203652363213,-0.5228591018177879,0.6342846868089603,-0.04264873048390039,0.45391066231490274,59
EBAY,-0.004543756134425646,1.2513471390093842,0.534393172773386,-0.5482040090245714,0.1588540813038356,0.6198399910754819,-0.053182884645398665,0.5471381303793537,59
ECL,-0.011530465960362899,1.0374443478405773,0.08704864839097441,-0.18378240103342966,0.3674172873564038,-0.20085084524550367,-0.12991945129075144,0.6407736339477118,59
EFX,-0.010987019738072982,1.4409593630040307,0.2589723641598769,-0.45973571812986613,0.5058286642380634,0.08804653016375132,-0.12416176973990578,0.5905641608482306,59
EG,-0.004244516502108092,0.5788965470324751,-0.18137066570796426,0.7835819505464692,0.29595085167876123,-0.39006747132100944,-0.049761810856629674,0.32540886696742677,59
EIX,-0.009631372398518278,0.9063753419425412,0.18910008866121214,0.10055752547783484,0.2640401801185378,0.37076025738884516,-0.10964645054282451,0.5086718577083658,59
EL,-0.03440515335641434,0.8029356540872971,1.0888419760288097,-0.6312719062363963,1.409162458427917,0.473528735791014,-0.3430394801959451,0.3366996748129826,59
ELV,-0.007575153521157228,0.8195263981155207,-0.1934936264847868,0.3554648711723775,0.3726229142054502,0.341461423462351,-0.08720858776650964,0.41845072579164344,59
EME,0.014693536343304144,0.9480809718535277,0.2054268409119537,0.5091139224896848,0.3456819738791605,-0.3397791099742636,0.19129337562665727,0.5069580045466061,59
EMR,-0.0074404619012047495,1.1735616791053618,0.49738407346348934,0.251978601744637,0.6047819222703849,0.07129545322828948,-0.08572087206219625,0.6914058048032559,59
EOG,-0.0021608642555276183,1.3715576094817088,-0.29819180383004995,1.8637869124549737,-0.5428132284767774,-0.04007466073617759,-0.025624404000872514,0.6642515590633025,59
EPAM,-0.01509919842914674,1.5386525083471394,-0.2826751166492733,0.0030399821097677956,-0.4851531749934789,-0.3371301847275628,-0.16687552929320726,0.23819785821654138,59
EQIX,-0.0021014534056652888,0.763266206961649,0.05330140055657427,-0.9639080061526221,0.19582628866853138,0.8398302029927185,-0.024928009876616808,0.5070478839129823,59
EQR,-0.012496233134777207,0.8738061594106934,0.08672580487042496,0.28524111139149594,0.22237947347597997,-0.13763121366052078,-0.140065978621419,0.5543756766704757,59
EQT,0.022827360280589386,1.0723807438867121,0.012151341337836307,-0.47286079649847224,-0.3325410057940047,1.7446962108025919,0.31107652347968395,0.15439205056282412,59
ERIE,0.011631747070487237,0.4066004296311996,0.2130441935800687,-0.01975108973920967,-0.09402189010192669,-0.1923102001569573,0.14886605890032278,0.10193310139176959,59
ES,-0.016134037598372952,0.6806814295603695,0.09796417655821119,-0.1536266659242656,0.11484958470331616,0.9080955496839547,-0.1773194439146848,0.3649545992152553,59
ESS,-0.010687552798564875,0.7828919901729819,0.37051960239754533,0.3689311351951072,0.29384372592871755,-0.46939789620975186,-0.12097408455722714,0.5265366844326904,59
ETN,0.009099611608239536,0.8966625389559776,0.05239111729188186,0.2800426185063758,0.3526683514576098,-0.635123693657984,0.11482954098874809,0.6166034596678809,59
ETR,-0.007102881030073625,0.7599534234221289,-0.49499634071740156,0.3980699154709228,0.22301913405287582,0.3277263954261089,-0.08198240230361986,0.4033940794740467,59
EVRG,-0.00938653785467012,0.5857652343139725,0.05863361758432609,0.2226795276519356,0.19155826005755755,0.24571924568642745,-0.10700154511626703,0.3142489844450501,59
EW,-0.014490862751461815,1.2704900508305472,-0.8578046342172811,-0.42602170278833473,-0.2713483494254469,0.3125468796082514,-0.16067943776982152,0.44856460283270216,59
EXC,-0.006912456455477084,0.5499380521078174,-0.08737635806875788,0.13281959812444522,0.45417732601659405,0.5791666948989691,-0.07986740823896366,0.4000919863052128,59
EXPD,-0.009697538373428035,0.8920170938047093,0.2056829739337295,-0.1739937042183951,0.8790922226422239,0.3905090077530299,-0.1103599965917409,0.5487907182178586,59
EXPE,-0.006514345010288035,1.7145041845291833,0.013195729462471911,1.3759098050268241,-0.7571154953218946,-1.190738961866166,-0.07543125470637524,0.5862219884977508,59
EXR,-0.0006508539841212086,0.869029839258983,0.013204383181059647,0.05537673863965139,-0.4003409592091542,-0.26499406443897,-0.0077823500566972514,0.322179739520857,59
F,-0.013541887089173059,1.6099995469374793,0.2140778439806077,0.549520983575871,-0.07145085086110571,-0.1272019685526364,-0.15092943159999206,0.5120641154196588,59
FAST,-0.0007009398111636232,0.9478431511862996,0.22521075906763618,-0.28675157063318,0.4543047733664853,0.2708672262365669,-0.008378926482105475,0.548961839744361,59
FCX,-0.0017694626466777143,1.7261808750924288,0.7010139561505031,0.4276258448016509,0.40228521675832624,0.350972421017113,-0.02102811988996156,0.6114481938827874,59
FDS,-0.0024567306469009268,0.7183409280974982,0.05697745163913158,-0.2989054422519968,0.3618889035688626,0.006821142620112545,-0.029085667206013355,0.4926372212557394,59
FDX,-0.007351762068176144,1.1587484927140514,-0.21132692489685992,0.1806720188833433,0.782765800215008,-0.1804789009950524,-0.08473993813373615,0.42411234754398297,59
FE,-0.010080418761421498,0.38151014758528634,0.11925208041976577,0.27700562142988816,0.48148263615163234,-0.03691273630572201,-0.11447876628916176,0.18405745941109064,59
FFIV,-0.0006946103012763205,0.8465229177757233,0.8815255843113524,-0.3973747505565162,0.3908860561896669,0.0737015044852004,-0.00830355332150734,0.5008057360414956,59
FI,-0.0020407980642085967,0.8956555464161867,-0.3326392512539145,0.5978866609793777,-0.13410160336409646,-0.33006063057165247,-0.02421655758636765,0.479397861671228,59
FICO,0.011041898262986136,1.3514994544841485,-0.4764787146212912,0.4473892315007704,-0.17323144255181633,-0.3193727441594196,0.14085340008659641,0.47672972969301153,59
FIS,-0.0200375584753297,1.1126598668812102,-0.781477725436259,0.7973314840619192,-0.49501558151639174,-0.252031271401208,-0.21564409118785344,0.3954741392154647,59
FITB,-0.0007396840915109478,1.0830171712357717,0.5209607560387002,1.864466396126677,-0.47350385231512737,-1.1913799315635114,-0.008840187236635044,0.8508851578605752,59
