Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
DTE,0.7189618124612318,-0.004023301199902156,-0.047225474160050185,0.6435768334151734,0.4141911405087018,59
DUK,0.47535748008616846,-0.0007951517147108773,-0.009500201410910236,0.451730833579912,0.20406074600680216,59
DVA,0.8520228079674218,0.0016540037949743383,0.020029602817940306,0.4820261755080859,0.23234923387495204,59
DVN,2.0979880660259798,-0.007333927426239936,-0.08454258787839486,0.5857211139062449,0.3430692232755723,59
DXCM,1.0482900013187704,-0.0062313490603748585,-0.0722659203703031,0.3943871904561875,0.15554125599592508,59
EA,0.7850246516199687,-0.0028790695852656868,-0.03400697465821234,0.6141579464171487,0.3771899831473293,59
EBAY,1.2813923177485158,-0.0006191107121902625,-0.0074040830076176345,0.7038137659724055,0.49535381717226,59
ECL,1.0946462971155564,-0.007067671759990063,-0.08159167862715311,0.7745791784015396,0.5999729036132041,59
ED,0.3710741063936568,-0.002829162812708795,-0.03342662939322261,0.33480375641355803,0.1120935553086291,59
EFX,1.5262042031057372,-0.004830925011454199,-0.056455338933182775,0.7563559775724268,0.5720743648095413,59
EG,0.6450885292158256,-0.000796924557185435,-0.009521289975257585,0.4349070122195739,0.1891441092777566,59
EIX,0.9533067474706761,-0.005530776111605252,-0.06438716865155658,0.6870868952449374,0.47208840161732757,59
EL,1.010991636742166,-0.025447965593142562,-0.2660602846824941,0.49354140188361356,0.24358311537324256,59
ELV,0.7990365729239975,-0.0019740832484366443,-0.023433481641764398,0.5533255477605945,0.30616916180456194,59
EME,1.0625811831406935,0.01862579173805992,0.24788918387665015,0.6534775433969613,0.42703289972412745,59
EMN,1.46949024851101,-0.00706159634200317,-0.08152424318908136,0.7961264059719159,0.6338172542857597,59
EMR,1.3029756963194958,-0.0013730502726768037,-0.01635274337586612,0.7730190682497707,0.5975584798777437,59
EOG,1.3699294465417131,-0.0003647856205999528,-0.004368655593334103,0.5458331888100956,0.29793387000659743,59
EPAM,1.5534853049144528,-0.014272356864559287,-0.1584435949666636,0.48482117557889454,0.23505157228970128,59
EQIX,0.6893366320475558,0.0018058163090388466,0.021886320693107697,0.5402433703487142,0.29186289920573794,59
EQR,0.9538670153908256,-0.009224549923527973,-0.10524766050413747,0.7303808286828175,0.5334561549073992,59
EQT,0.8476709169613129,0.02643659117423148,0.36768318760613083,0.2921274238520691,0.08533843176644641,59
ERIE,0.44611623063900124,0.011466078724191562,0.14661038351119648,0.27786554624782434,0.0772092617916018,59
ES,0.6426331881265253,-0.012643655266073651,-0.1416052448513343,0.5218692947139543,0.2723475607652401,59
ESS,0.9474823920629859,-0.00830289633237547,-0.09520844557119412,0.6736740818175392,0.4538367685127045,59
ETN,1.0036163594442762,0.012701448580271986,0.16352889875395915,0.7473253817954313,0.5584952262756872,59
ETR,0.7093172709167805,-0.0021618948522051586,-0.025636480286657992,0.5303346105426502,0.28125479913942447,59
EVRG,0.6318937658571968,-0.0065508905525248585,-0.07583929720630656,0.5200749161764009,0.2704779184358904,59
EW,1.0776674637526589,-0.010643445454447566,-0.12050368505181341,0.5751753979553772,0.33082673841312654,59
EXC,0.5456742538447003,-0.0017013939029778182,-0.0202267532999848,0.4933562405445649,0.24340038008426657,59
EXPD,0.9635661883353637,-0.0019481822028903657,-0.02312930872390684,0.7003953113280048,0.4905535921302528,59
EXPE,1.845521302325813,-0.007831035420677486,-0.09002878155401994,0.6653292146861911,0.44266296391494375,59
EXR,0.9193237422750288,-0.0015194807846153754,-0.018082156346992284,0.5554448674401721,0.3085190007656303,59
F,1.7078141321378695,-0.010234438419459172,-0.11613067049327885,0.6847647833755717,0.4689028085513936,59
FANG,1.8884280027251195,-0.0003317405161819952,-0.0039736308032659595,0.5690960820146532,0.3238703505644289,59
FAST,0.9959326789233568,0.0043655689991254736,0.05366315372845509,0.7301643078766582,0.5331399164969993,59
FCX,1.8505434551954507,0.00471454676477176,0.05806484015984359,0.7104739686595486,0.5047732601428493,59
FDS,0.7490400471168228,0.001411173500046112,0.017066135320445763,0.6638104040932711,0.44064425258247186,59
FDX,1.2187165814041934,0.0007143921395118009,0.008606469518502413,0.6250768779471357,0.3907211033441384,59
FE,0.48803952802806827,-0.006602323391422709,-0.07641328142941806,0.37197909879486024,0.1383684499402364,59
FFIV,1.0084660313858103,0.001991733649548232,0.024164372069670925,0.6363529187181183,0.40494503716106806,59
FI,0.9023657913235783,-7.823087346052904e-05,-0.0009383666622473363,0.6486782255782487,0.42078344033934534,59
FICO,1.3356498120300275,0.01418572696509712,0.184158757276484,0.6830948150645911,0.46661852636812795,59
FIS,1.029679789035202,-0.01858825846566057,-0.20161017314667362,0.5694139080479161,0.3242321986784007,59
FITB,1.3351904309460494,-0.0029095906495147997,-0.03436173410167698,0.6110584231199233,0.37339239646580724,59
FOX,0.8360205482007264,-0.003659225910013062,-0.04303766632240025,0.5807284715552393,0.3372455576748844,59
